age,annual_income,monthly_savings,emergency_fund,risk_appetite,investment_goal,existing_investment_pct,debt_allocation,equity_allocation,mutual_fund_allocation
35,832678,17970,35940,High,Short-Term,0.171,24.72,43.66,31.62
30,533957,7629,15258,Medium,Property Purchase,0.015,4.73,59.65,35.61
37,793117,10766,32752,Medium,Tax Saving,0.087,4.85,55.34,39.8
44,1619319,34602,143788,Medium,Wealth Creation,0.121,13.53,59.79,26.68
30,1513699,34233,175956,Medium,Wealth Creation,0.036,11.65,66.82,21.53
30,990187,17459,34919,Medium,Tax Saving,0.221,4.52,59.02,36.46
44,1132921,13878,35212,Low,Retirement,0.106,36.69,40.66,22.65
38,2219569,39265,159646,Medium,Emergency Fund,0.206,4.92,53.91,41.17
28,543820,10726,53091,Medium,Short-Term,0.091,4.47,34.01,61.52
36,1593602,19297,78335,High,Emergency Fund,0.16,10.74,69.29,19.97
28,552983,10986,21973,High,Wealth Creation,0.011,13.16,67.19,19.66
28,850713,12757,25514,Low,Education,0.067,28.9,38.27,32.84
33,745803,10928,38642,Medium,Tax Saving,0.133,4.77,57.88,37.35
18,386817,7261,88979,High,Wealth Creation,0.114,12.31,66.8,20.89
18,322949,7691,17565,Medium,Retirement,0.144,4.64,64.43,30.94
27,1428718,31150,133982,Low,Short-Term,0.048,32.7,29.98,37.32
23,352653,7360,14720,Medium,Tax Saving,0.068,4.67,58.57,36.77
34,521342,16087,43181,Medium,Tax Saving,0.055,4.73,56.99,38.28
24,2029232,48838,295661,High,Short-Term,0.03,21.42,45.35,33.23
20,840663,15921,31843,Low,Education,0.014,28.11,38.99,32.9
43,300000,4811,13725,Medium,Tax Saving,0.13,7.53,51.63,40.84
30,502111,11326,22652,Low,Wealth Creation,0.182,18.63,56.12,25.25
32,300000,6291,40410,Medium,Tax Saving,0.056,4.72,56.9,38.37
20,300000,3495,15666,Medium,Wealth Creation,0.093,10.61,68.44,20.95
27,300000,4789,15191,Medium,Short-Term,0.048,4.5,33.62,61.88
32,711254,8198,16396,Medium,Tax Saving,0.152,4.84,59.99,35.18
22,300000,3684,7368,Low,Short-Term,0.144,32.03,30.82,37.15
35,855337,12327,24655,Low,Wealth Creation,0.036,21.21,54.29,24.5
27,300000,4776,12146,High,Tax Saving,0.059,10.7,51.49,37.8
29,726939,11024,22048,High,Short-Term,0.094,24.29,44.44,31.27
27,490893,7243,22656,High,Wealth Creation,0.102,12.32,67.74,19.95
46,2759107,52606,286783,Medium,Wealth Creation,0.117,16.09,57.01,26.9
31,1742857,31572,88558,High,Retirement,0.049,14.62,64.52,20.87
23,862570,21886,43773,High,Wealth Creation,0.02,11.39,67.57,21.04
38,751761,16121,60848,High,Education,0.003,19.07,60.19,20.74
22,1664751,32498,64997,High,Short-Term,0.062,24.73,46.67,28.6
33,311828,7356,14713,High,Tax Saving,0.07,9.44,53.35,37.21
18,300000,3872,12934,Medium,Short-Term,0.103,4.56,35.05,60.4
21,460615,9830,19661,Medium,Wealth Creation,0.283,13.48,65.85,20.67
33,3000000,43853,156117,High,Wealth Creation,0.108,14.43,67.96,17.61
37,795066,19428,59458,Low,Wealth Creation,0.027,19.86,56.62,23.53
33,702616,13830,130323,High,Tax Saving,0.042,11.13,50.05,38.82
31,306005,4396,11040,Medium,Wealth Creation,0.121,13.35,66.28,20.37
29,1216738,31517,281804,Low,Short-Term,0.091,32.53,28.23,39.24
20,804848,17260,54335,High,Education,0.173,19.16,59.96,20.89
26,972992,16112,32224,Medium,Tax Saving,0.025,4.67,58.07,37.26
28,451004,13222,31598,High,Wealth Creation,0.07,13.36,65.92,20.72
40,629163,16734,97879,Low,Retirement,0.114,32.7,43.49,23.8
34,376859,6673,34220,High,Wealth Creation,0.221,11.97,65.59,22.45
18,420644,4113,17652,High,Wealth Creation,0.196,12.47,66.38,21.16
34,426119,6928,73025,Low,Short-Term,0.122,37.52,29.79,32.69
28,332045,7183,37419,Low,Short-Term,0.178,34.74,28.62,36.65
26,476650,7429,14858,Medium,Education,0.141,4.65,46.49,48.86
36,650460,8315,16631,High,Retirement,0.083,15.82,64.57,19.62
40,692411,13187,60551,Medium,Short-Term,0.197,8.94,32.56,58.5
39,1238623,18406,102769,Medium,Wealth Creation,0.188,16.14,64.7,19.17
25,610432,13436,26873,High,Tax Saving,0.088,7.78,54.12,38.1
29,578896,5916,30443,High,Tax Saving,0.173,9.43,52.74,37.83
34,910989,23131,110801,Medium,Short-Term,0.051,4.83,34.39,60.77
39,521330,11996,24503,Medium,Wealth Creation,0.14,13.08,65.98,20.94
28,696819,7541,39933,Low,Property Purchase,0.129,21.27,48.02,30.71
30,780284,10175,28119,Medium,Tax Saving,0.051,4.66,58.75,36.59
23,300000,4987,12743,High,Wealth Creation,0.135,13.4,65.58,21.02
22,928261,23235,233331,Medium,Short-Term,0.03,4.63,34.35,61.02
38,537717,7906,15812,Medium,Wealth Creation,0.106,14.79,65.88,19.33
42,1078111,19134,45004,Medium,Wealth Creation,0.134,15.53,62.91,21.56
31,1479309,32936,66984,Medium,Wealth Creation,0.07,15.8,63.56,20.64
40,1656747,31513,250675,Medium,Education,0.104,6.64,43.57,49.79
34,839442,13937,39692,Low,Retirement,0.026,21.33,52.75,25.93
26,499592,6508,54841,High,Wealth Creation,0.09,13.44,66.69,19.87
34,1451840,31153,132250,Medium,Wealth Creation,0.222,14.84,67.01,18.15
44,1585383,41188,82377,Medium,Wealth Creation,0.099,15.41,61.1,23.49
31,512578,10942,34286,Medium,Emergency Fund,0.145,4.79,60.23,34.98
44,659740,11338,79269,Low,Education,0.083,41.02,29.59,29.39
18,300000,6200,21259,High,Retirement,0.148,11.73,66.39,21.88
38,1002914,17080,34160,Medium,Wealth Creation,0.192,12.58,69.89,17.53
32,730260,15750,31500,Low,Emergency Fund,0.143,23.52,47.81,28.67
29,1364705,27036,215795,Low,Tax Saving,0.121,15.9,42.07,42.03
32,953063,18536,56527,Low,Short-Term,0.092,36.14,29.14,34.72
18,890695,14726,33501,Medium,Wealth Creation,0.178,11.21,66.36,22.43
30,464652,8672,36351,Medium,Education,0.118,4.47,48.37,47.16
34,1626080,23486,159166,Medium,Wealth Creation,0.171,15.74,64.74,19.52
43,761260,15293,74734,Medium,Wealth Creation,0.065,16.04,62.11,21.86
27,1030595,17089,72064,Low,Short-Term,0.076,33.75,29.55,36.7
25,300000,4808,28210,High,Wealth Creation,0.028,13.62,64.8,21.58
27,748082,22910,45821,High,Tax Saving,0.152,11.1,50.64,38.26
39,300000,2970,5941,Medium,Tax Saving,0.099,5.28,54.0,40.72
34,694940,14120,145588,Low,Retirement,0.123,21.84,51.85,26.31
27,838811,9248,28406,High,Property Purchase,0.24,13.59,65.05,21.36
36,623764,10984,21968,Medium,Retirement,0.025,5.02,56.62,38.36
32,409676,9127,18255,Medium,Short-Term,0.133,4.79,33.63,61.58
39,1567927,20236,115425,Medium,Short-Term,0.225,8.04,31.21,60.75
26,572898,6066,16330,Low,Short-Term,0.191,32.07,29.67,38.26
29,510249,10584,35302,Medium,Wealth Creation,0.031,12.77,67.16,20.07
28,688674,9319,31530,Low,Tax Saving,0.086,16.3,44.98,38.72
20,2224604,27862,55725,High,Wealth Creation,0.116,15.56,64.72,19.72
34,1616756,25714,123204,High,Education,0.122,19.73,58.21,22.06
34,1611492,46100,336373,High,Emergency Fund,0.126,15.09,65.69,19.23
32,975318,16029,32058,Low,Tax Saving,0.069,17.55,43.16,39.3
30,776941,11897,42564,Medium,Short-Term,0.055,4.34,35.37,60.28
20,300000,4689,37183,High,Education,0.036,21.97,56.41,21.63
28,443061,5470,10940,Low,Wealth Creation,0.085,17.4,60.05,22.55
29,510754,7993,23419,High,Education,0.212,18.4,60.6,20.99
25,300000,7526,22715,High,Education,0.105,19.19,60.79,20.02
30,358404,4603,35257,High,Retirement,0.13,12.86,66.84,20.29
35,300000,3958,7917,Low,Retirement,0.025,29.15,46.32,24.53
47,1101612,14611,146713,Medium,Retirement,0.18,15.29,49.22,35.49
33,1282845,15037,95675,High,Wealth Creation,0.128,14.37,65.08,20.55
34,1557071,38761,77522,Medium,Education,0.107,4.82,44.63,50.54
31,942835,21468,275130,Medium,Tax Saving,0.039,4.69,58.36,36.95
18,300000,5172,27153,Low,Education,0.082,27.87,39.74,32.39
31,300000,7187,16711,High,Short-Term,0.155,24.51,44.15,31.34
32,300000,4395,8791,Low,Property Purchase,0.051,22.08,47.01,30.91
50,560420,9040,55357,High,Retirement,0.121,17.49,64.47,18.04
30,417422,8426,56969,Medium,Retirement,0.212,4.62,63.39,31.99
34,736248,12577,25155,High,Emergency Fund,0.071,13.93,65.7,20.38
31,404347,9006,18013,Medium,Short-Term,0.04,4.5,34.82,60.67
22,632705,15168,102147,High,Property Purchase,0.031,15.54,65.53,18.93
41,851264,9599,32137,Low,Tax Saving,0.126,22.54,38.47,38.99
38,906101,23499,60774,High,Tax Saving,0.189,9.81,51.1,39.1
38,1800144,33037,231358,Low,Wealth Creation,0.032,20.52,52.7,26.79
24,300000,4456,13061,Medium,Wealth Creation,0.084,14.22,64.39,21.39
43,1324882,22645,53086,Medium,Short-Term,0.169,11.98,31.84,56.17
20,465708,9610,31134,Low,Wealth Creation,0.221,17.04,58.7,24.27
36,710078,10530,21060,Medium,Education,0.061,4.97,45.51,49.52
49,2020816,43401,143948,Low,Emergency Fund,0.217,34.11,34.55,31.34
24,935201,14725,129918,Medium,Short-Term,0.042,4.48,35.23,60.29
27,360851,10091,37118,Medium,Short-Term,0.08,4.62,34.26,61.12
32,690215,9795,26604,Low,Education,0.015,30.37,37.62,32.01
27,768645,13062,93023,Low,Education,0.054,26.45,40.07,33.48
19,373407,9288,42630,Low,Education,0.133,27.56,38.92,33.52
32,1084857,25472,156423,Medium,Tax Saving,0.157,4.59,56.96,38.45
23,636329,10720,33214,Medium,Tax Saving,0.079,4.59,58.23,37.18
